original_header,subindex_number,csv_header,subindex_name
Subindex 1: Entry Costs,1,sub1,Entry Costs
Subindex 2: Land Access & Security,2,sub2,Land Access & Security
Subindex 3: Post-Registration Regulation,3,sub3,Post-Registration Regulation
Subindex 4: Informal Charges,4,sub4,Informal Charges
Subindex 5: Infrastructure,5,sub5,Infrastructure
Subindex 6: Transparency,6,sub6,Transparency
Subindex 7: Policy Bias,7,sub7,Policy Bias
Subindex 8: Environmental Compliance,8,sub8,Environmental Compliance
Subindex 9: Labor Quality,9,sub9,Labor Quality
Subindex 10: Law & Order,10,sub10,Law & Order